ID,bstatus,trans_cf_td,trans_ca_cl,trans_re_ta,trans_ni_ta,trans_td_ta,trans_s_ta,trans_wc_ta,trans_wc_s,trans_c_cl,trans_cl_e,trans_in_s,trans_mve_td
1,1,1.369132803,0.159439502,6.264665644,7.92556248,0.28470524,0.352420474,6.634740535,1.615486052,0.043509245,5.754274901,0.4922293,5.21E-05
2,1,1.36914223,0.014316271,6.253407496,7.917885598,0.540604507,0.254591125,6.485345136,1.614806765,0.048657093,5.74544504,0.473118978,3.71E-06
3,1,1.369132145,0.128745113,6.253291445,7.913276699,0.206239284,0.368480756,6.61128316,1.615412907,0.06752569,5.755897849,0.482942253,9.75E-06
4,1,1.369130688,0.02872408,6.002232611,7.941761124,0.554392597,0.492706257,6.424582013,1.615076994,0.050788589,5.749709566,0.474781756,0.000157311
5,1,1.369114338,0.102472492,6.18968169,7.919474776,0.160309903,0.375533962,6.592594743,1.615360441,0.043806644,5.756921436,0.486883944,0.000579058
6,1,1.369139133,0.144138998,6.255361572,7.909393657,0.393035736,0.242623844,6.618682443,1.615462049,0.05316777,5.74877217,0.488369022,4.73E-06
7,1,1.369155466,0.109363331,6.249108466,7.932870532,0.29953451,0.36146694,6.598444911,1.615375297,0.057786554,5.747239033,0.481596199,1.34E-05
8,1,1.369146368,0.193524695,6.25459776,7.926684882,0.428059166,0.361322764,6.643460679,1.61550882,0.045662693,5.749318748,0.494098985,2.24E-05
9,1,1.369151666,0.091169739,6.262990165,7.929290213,0.36277921,0.318978685,6.598579324,1.615370557,0.097624829,5.77282195,0.474197034,1.42E-05
10,1,1.369145828,0.037689346,6.263846434,7.925813347,0.463273492,0.23002531,6.552038416,1.615090398,0.040917739,5.771158816,0.473685105,6.60E-06
11,1,1.369164004,0.188071317,6.262854261,7.936313723,0.237531173,0.343007965,6.634408659,1.615488533,0.049141329,5.752794557,0.485273897,9.94E-05
12,1,1.369172268,0.082418849,6.120201481,7.936367109,0.159569716,0.937542719,6.554620154,1.615375213,0.049670789,5.746558626,0.473559963,0.000464168
